question,user_answer,correct_answer,score
Cheese is made from _______.,Milk,Milk,1
The colour of cowâ€™s milk is ________.,White,White,1
Name the day that comes after Tuesday?,Wednesday,Wednesday,1
Name the four main directions?,North South West East,"North, East, West, and South",0
Kangaroos have _____ to carry their young ones.,Poch,Pouches,0
Name the largest island in the world?,Australia,Greenland,0
A person who teaches us is known as___________?,Teacher,Teacher,1
Which animal has a long nose known as trunk?,Elephant,Elephant,1
Who is the king of the jungle?,Lion,B. Lion,0
Home of a pig is called ______.,India,Sty,0
